2025-04-11 18:50:48.893 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2025-04-11 18:50:49.970 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:modulo t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-04-11 18:50:49.970 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:modulo t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2025-04-11 18:50:50.154 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@4e9658b5{solr-jetty-context.xml,/solr,file:///D:/GABY/solr-9.6.1/server/solr-webapp/webapp/,AVAILABLE}{D:\GABY\solr-9.6.1\server/solr-webapp/webapp}
2025-04-11 18:50:50.198 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened D:\GABY\solr-9.6.1\server\logs\2025_04_11.request.log
2025-04-11 18:50:50.224 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@2cb3d0f7{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2025-04-11 18:50:50.231 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@3e2822{STARTING}[10.0.20,sto=0] @27286ms
2025-04-11 18:50:50.314 INFO  (coreLoadExecutor-11-thread-3) [c: s: r: x:Topics t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-04-11 18:50:50.314 INFO  (coreLoadExecutor-11-thread-3) [c: s: r: x:Topics t:] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-04-11 18:50:51.005 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-04-11 18:50:51.005 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-04-11 18:50:51.391 INFO  (qtp1363396194-23-localhost-1) [c: s: r: x: t:localhost-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=219
2025-04-11 18:50:52.002 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:modulo t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: D:\GABY\solr-9.6.1\server\solr\modulo\conf
2025-04-11 18:50:52.085 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:modulo t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2025-04-11 18:50:52.103 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:modulo t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-04-11 18:50:52.111 INFO  (searcherExecutor-14-thread-1-processing-modulo) [c: s: r: x:modulo t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-04-11 18:50:52.111 INFO  (searcherExecutor-14-thread-1-processing-modulo) [c: s: r: x:modulo t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-04-11 18:50:52.128 INFO  (searcherExecutor-14-thread-1-processing-modulo) [c: s: r: x:modulo t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
